name	virus	subtype	length	sequence
164	HIV-1	G (check for 14_BG)	200
181	HIV-1	C (check for 31_BC)	200
178	HIV-1	C	199
182	HIV-1	C (check for 31_BC)	200
180	HIV-1	C (check for 31_BC)	188
169	HIV-1	C	200
176	HIV-1	C (check for 31_BC)	200
191	HIV-1	C (check for 31_BC)	200
41	HIV-1	37_cpx	200
49	HIV-1	D (check for 35_AD)	200
193	HIV-1	C (check for 31_BC)	200
12	HIV-1	B (check for 03_AB)	200
35	HIV-1	37_cpx	200
188	HIV-1	C (check for 31_BC)	200
161	HIV-1	G (check for 14_BG)	200
195	HIV-1	G (check for 18_cpx)	198
186	HIV-1	C (check for 31_BC)	200
198	HIV-1	18_cpx	200
200	HIV-1	18_cpx	200
190	HIV-1	C (check for 31_BC)	200
199	HIV-1	F1 (check for 18_cpx)	200
160	HIV-1	G (check for 14_BG)	200
100	HIV-1	B	200
72	HIV-1	J	200
192	HIV-1	C (check for 31_BC)	200
187	HIV-1	C (check for 31_BC)	200
189	HIV-1	C (check for 31_BC)	200
209	HIV-1	G (check for 18_cpx)	200
208	HIV-1	F1 (check for 18_cpx)	200
175	HIV-1	C	200
110	HIV-1	27_cpx	200
206	HIV-1	F1 (check for 18_cpx)	200
213	HIV-1	A2	200
220	HIV-1	A2	200
203	HIV-1	18_cpx	200
211	HIV-1	A2	200
212	HIV-1	A2	200
215	HIV-1	A2	200
196	HIV-1	18_cpx	200
151	HIV-1	G (check for 14_BG)	200
165	HIV-1	C	197
172	HIV-1	C	200
194	HIV-1	C (check for 31_BC)	200
222	HIV-1	A2	200
214	HIV-1	A2	200
205	HIV-1	18_cpx	200
221	HIV-1	A2	202
216	HIV-1	A2	200
210	HIV-1	A2	179
217	HIV-1	A2	200
86	HIV-1	D (check for 10_CD)	200
238	HIV-1	F2	200
218	HIV-1	A2	200
229	HIV-1	F2	200
246	HIV-1	01_AE	200
241	HIV-1	01_AE	200
234	HIV-1	F2	200
202	HIV-1	A1 (check for 18_cpx)	200
240	HIV-1	01_AE	200
207	HIV-1	18_cpx	200
242	HIV-1	01_AE	200
231	HIV-1	F2	200
232	HIV-1	F2	200
230	HIV-1	F2	200
204	HIV-1	18_cpx	200
235	HIV-1	F2	200
233	HIV-1	F2	200
237	HIV-1	F2	200
239	HIV-1	F2	200
224	HIV-1	A2	200
225	HIV-1	F2	200
245	HIV-1	01_AE	200
236	HIV-1	F2	200
228	HIV-1	F2	200
243	HIV-1	01_AE	200
226	HIV-1	F2	200
244	HIV-1	01_AE	200
268	HIV-1	G	200
256	HIV-1	G	200
257	HIV-1	G	200
98	HIV-1	B	200
271	HIV-1	G (check for 06_cpx)	200
269	HIV-1	G	200
278	HIV-1	06_cpx	200
274	HIV-1	G (check for 06_cpx)	200
264	HIV-1	G	200
273	HIV-1	06_cpx	200
275	HIV-1	06_cpx	200
277	HIV-1	06_cpx	200
122	HIV-1	02_AG	200
266	HIV-1	G	200
272	HIV-1	06_cpx	200
265	HIV-1	G	200
260	HIV-1	G	200
262	HIV-1	G	200
258	HIV-1	G	200
197	HIV-1	F1 (check for 18_cpx)	200
270	HIV-1	06_cpx	206
259	HIV-1	G	193
276	HIV-1	06_cpx	200
261	HIV-1	G	200
219	HIV-1	A2	200
263	HIV-1	G	200
254	HIV-1	01_AE	200
253	HIV-1	01_AE	200
249	HIV-1	01_AE	200
267	HIV-1	G	200
227	HIV-1	F2	200
252	HIV-1	01_AE	200
250	HIV-1	01_AE	200
248	HIV-1	01_AE	200
251	HIV-1	01_AE	200
255	HIV-1	G	197
136	HIV-1	D (check for 11_cpx)	200
223	HIV-1	A2	200
284	HIV-1	J (check for 06_cpx)	200
158	HIV-1	G (check for 14_BG)	200
132	HIV-1	02_AG	200
282	HIV-1	06_cpx	200
293	HIV-1	20_BG	200
310	HIV-1	G (check for 13_cpx)	200
312	HIV-1	13_cpx	200
316	HIV-1	F1 (check for 40_BF)	200
311	HIV-1	G (check for 13_cpx)	200
309	HIV-1	13_cpx	200
307	HIV-1	13_cpx	200
314	HIV-1	01_AE	200
313	HIV-1	G (check for 13_cpx)	200
295	HIV-1	20_BG	200
301	HIV-1	F1 (check for 13_cpx)	200
306	HIV-1	G (check for 13_cpx)	200
299	HIV-1	G (check for 20_BG)	200
297	HIV-1	20_BG	200
305	HIV-1	13_cpx	200
304	HIV-1	13_cpx	200
300	HIV-1	13_cpx	218
308	HIV-1	13_cpx	200
296	HIV-1	G (check for 20_BG)	200
302	HIV-1	D (check for 13_cpx)	200
292	HIV-1	D (check for 20_BG)	200
285	HIV-1	20_BG	188
283	HIV-1	C (check for 06_cpx)	200
185	HIV-1	31_BC	200
291	HIV-1	20_BG	200
298	HIV-1	G (check for 20_BG)	200
303	HIV-1	J (check for 13_cpx)	200
288	HIV-1	G (check for 20_BG)	200
294	HIV-1	B (check for 20_BG)	200
286	HIV-1	G (check for 20_BG)	200
328	HIV-1	F1 (check for 40_BF)	200
338	HIV-1	A1	200
340	HIV-1	A1	200
145	HIV-1	11_cpx	200
341	HIV-1	A1	200
347	HIV-1	G (check for 43_02G)	200
346	HIV-1	G (check for 43_02G)	200
348	HIV-1	G (check for 43_02G)	200
344	HIV-1	A1	200
334	HIV-1	A1	200
201	HIV-1	G (check for 18_cpx)	200
289	HIV-1	20_BG	200
332	HIV-1	A1	200
336	HIV-1	A1	200
330	HIV-1	A1	200
315	HIV-1	40_BF	200
339	HIV-1	A1	200
327	HIV-1	40_BF	200
326	HIV-1	40_BF	200
337	HIV-1	A1	200
331	HIV-1	A1	200
322	HIV-1	F1 (check for 40_BF)	200
335	HIV-1	A1	200
333	HIV-1	A1	200
324	HIV-1	B (check for 40_BF)	200
345	HIV-1	43_02G	197
369	HIV-1	D	200
365	HIV-1	D	200
353	HIV-1	43_02G	200
367	HIV-1	D	200
370	HIV-1	D	200
364	HIV-1	D	200
325	HIV-1	40_BF	200
358	HIV-1	G (check for 43_02G)	200
363	HIV-1	D	200
287	HIV-1	G (check for 20_BG)	200
329	HIV-1	F1 (check for 40_BF)	200
320	HIV-1	40_BF	200
368	HIV-1	D	200
356	HIV-1	G (check for 43_02G)	200
361	HIV-1	D	200
323	HIV-1	40_BF	200
372	HIV-1	D	200
355	HIV-1	G (check for 43_02G)	200
371	HIV-1	D	200
357	HIV-1	43_02G	200
349	HIV-1	43_02G	200
388	HIV-1	G (check for 09_cpx)	200
343	HIV-1	A1	200
362	HIV-1	D	200
390	HIV-1	F1	200
380	HIV-1	K (check for 09_cpx)	200
354	HIV-1	A1 (check for 43_02G)	200
387	HIV-1	09_cpx	200
383	HIV-1	09_cpx	200
382	HIV-1	A1 (check for 09_cpx)	200
366	HIV-1	D	200
392	HIV-1	F1	200
389	HIV-1	A1 (check for 09_cpx)	200
376	HIV-1	C (check for 09_cpx)	200
342	HIV-1	A1	200
391	HIV-1	F1	200
385	HIV-1	09_cpx	200
384	HIV-1	09_cpx	200
351	HIV-1	A1 (check for 43_02G)	200
352	HIV-1	43_02G	200
381	HIV-1	09_cpx	200
359	HIV-1	43_02G	200
318	HIV-1	40_BF	200
173	HIV-1	C	200
280	HIV-1	G (check for 06_cpx)	200
375	HIV-1	09_cpx	203
360	HIV-1	D	197
319	HIV-1	F1 (check for 40_BF)	200
281	HIV-1	06_cpx	200
378	HIV-1	01_AE (check for 09_cpx)	200
377	HIV-1	J (check for 09_cpx)	200
386	HIV-1	G (check for 09_cpx)	200
404	HIV-1	F1	200
394	HIV-1	F1	200
416	HIV-1	F1 (check for 29_BF)	200
412	HIV-1	B (check for 29_BF)	200
396	HIV-1	F1	200
418	HIV-1	D (check for 29_BF)	200
425	HIV-1	B (check for 12_BF)	200
406	HIV-1	F1 (check for 29_BF)	200
419	HIV-1	F1 (check for 29_BF)	200
401	HIV-1	F1	200
408	HIV-1	B (check for 29_BF)	200
426	HIV-1	12_BF	200
411	HIV-1	29_BF	200
409	HIV-1	B (check for 29_BF)	200
414	HIV-1	F1 (check for 29_BF)	200
430	HIV-1	F1 (check for 12_BF)	200
424	HIV-1	12_BF	200
413	HIV-1	F1 (check for 29_BF)	200
429	HIV-1	12_BF	200
