window_size,threshold_pure,threshold_crf,sens. URF,sens. PURE/CRF
75,28,32,0.254101809,0.9999367089
50,24,38,0.177429533,0.9999367089
50,34,26,0.0316575515,1
50,38,38,0.0019983172,1
200,26,24,0.5377576777,0.9755063291
400,22,20,0.4293226756,0.9139873418
100,20,18,0.6339924274,0.9061392405
200,28,24,0.5212452671,0.980443038
300,22,36,0.5070466975,0.9413924051
50,32,26,0.0380732015,1
200,24,38,0.5516407236,0.9759493671
200,20,28,0.5910811948,0.9155063291
75,20,20,0.5617374842,0.9702531646
50,38,24,0.0443836769,1
75,24,22,0.4216449306,0.9944936709
50,34,36,0.0092553639,1
50,38,34,0.004101809,1
400,18,24,0.4496213715,0.8784177215
75,20,32,0.5439629785,0.9843037975
50,36,38,0.0048380311,1
50,32,34,0.0180900294,1
100,34,22,0.3039545646,0.9897468354
200,18,26,0.6082246529,0.8547468354
100,22,30,0.5616323096,0.9835443038
75,20,28,0.5457509466,0.9829113924
100,38,34,0.1454564577,0.9999367089
100,26,24,0.4679217501,0.9932911392
200,28,28,0.5178796803,0.9888607595
50,34,18,0.1881573412,0.9862025316
200,30,22,0.5075725705,0.9705696203
200,24,30,0.5523769457,0.973164557
100,30,20,0.4140723601,0.9738607595
75,20,30,0.5446992007,0.9836075949
75,32,32,0.1434581405,0.9999367089
300,22,38,0.5070466975,0.9420253165
300,18,32,0.5366007573,0.8679113924
75,28,36,0.252313841,0.9999367089
100,38,38,0.1397770299,1
400,20,34,0.4319520404,0.9158227848
400,18,30,0.4450988641,0.8855696203
400,24,20,0.4183845183,0.9303164557
100,36,32,0.1896297854,0.9994303797
50,18,38,0.4684476231,0.9868987342
400,28,36,0.3802061422,0.9780379747
50,20,26,0.3648506521,0.9976582278
50,34,20,0.1262095078,0.997721519
50,22,26,0.2668279344,0.999556962
100,20,30,0.6095919226,0.959556962
100,18,22,0.6603912495,0.8958227848
200,34,28,0.4577198149,0.9925316456
400,34,24,0.35128313,0.9758860759
50,30,24,0.0680479596,1
400,38,20,0.3406604964,0.9579113924
100,34,30,0.2442153976,0.9989240506
50,36,22,0.0758308793,0.9996835443
300,38,20,0.4125999159,0.9486075949
200,26,18,0.5568994531,0.9008227848
300,18,38,0.5364955827,0.8703164557
300,30,22,0.4587715608,0.9643670886
200,30,20,0.5148296172,0.9465189873
300,22,28,0.5077829196,0.9375316456
100,32,36,0.2835506942,0.9999367089
50,38,20,0.1214766512,0.997721519
300,24,26,0.4933740008,0.9552531646
50,18,36,0.4685527976,0.986835443
75,32,26,0.1728018511,0.9998101266
200,18,34,0.60769878,0.8590506329
200,36,18,0.4714976862,0.9055696203
100,24,36,0.5128313,0.9964556962
400,24,24,0.4122843921,0.9463924051
50,34,28,0.0204038704,1
200,36,34,0.4334244846,0.9958227848
200,38,26,0.4173327724,0.9887974684
100,20,26,0.611274716,0.9575316456
100,18,28,0.6572360118,0.9011392405
300,32,30,0.4342658814,0.9893037975
200,20,30,0.5908708456,0.916835443
50,30,26,0.0514303744,1
75,24,28,0.3996634413,0.9988607595
100,36,26,0.2229701304,0.9975949367
300,32,38,0.4337400084,0.9922151899
100,36,24,0.2396928902,0.9948734177
200,36,30,0.4359486748,0.9944936709
200,20,32,0.5906604964,0.9173417722
300,22,34,0.5071518721,0.9407594937
75,26,26,0.3351914178,0.9996835443
100,38,30,0.1601809003,0.9989873418
300,36,20,0.4261674379,0.9484177215
100,22,32,0.561527135,0.984556962
400,38,26,0.3277240219,0.9838607595
200,18,32,0.6078039546,0.8585443038
400,24,36,0.4064997897,0.9575316456
300,24,30,0.491796382,0.9597468354
200,26,26,0.5366007573,0.9802531646
50,28,26,0.078986117,1
200,20,18,0.6052797644,0.8569620253
200,18,18,0.620004207,0.8107594937
75,26,30,0.3262515776,0.9998734177
200,20,26,0.591291544,0.9134810127
50,24,18,0.2898611695,0.9861392405
200,34,38,0.4524610854,0.9967721519
200,28,18,0.5419646613,0.9034810127
50,18,26,0.4710769878,0.9852531646
50,28,36,0.0647875473,1
200,20,34,0.5905553218,0.9179113924
100,24,22,0.5303954565,0.9862025316
400,22,30,0.4184896929,0.9374683544
100,26,20,0.4972654607,0.972721519
400,34,22,0.3546487169,0.9680379747
100,24,20,0.5449095499,0.9707594937
400,28,30,0.380521666,0.9762025316
400,28,18,0.3996634413,0.9307594937
100,38,32,0.1506100126,0.9994303797
75,34,30,0.1096970972,1
75,24,26,0.4026083298,0.9987341772
75,28,30,0.2566259992,0.9999367089
75,20,18,0.5775136727,0.9432278481
50,22,24,0.2721918385,0.999556962
200,32,38,0.4755994952,0.9961392405
300,32,18,0.4595077829,0.9201898734
300,22,18,0.526398822,0.8860126582
75,36,18,0.2615692049,0.9565189873
200,32,32,0.4769667648,0.9944936709
300,32,22,0.4450988641,0.9660759494
75,18,18,0.6333613799,0.9101265823
300,26,32,0.4781236853,0.9740506329
100,32,28,0.3006941523,0.9982278481
50,20,38,0.3614850652,0.9982911392
400,24,22,0.4145982331,0.9403797468
400,20,32,0.432057215,0.9152531646
200,20,24,0.5916070677,0.9108860759
400,22,36,0.4183845183,0.9390506329
75,22,30,0.4746529239,0.9953164557
100,26,26,0.4621371477,0.9960126582
100,28,30,0.4049221708,0.9985443038
75,28,22,0.3091081195,0.9955696203
200,28,30,0.5170382836,0.9902531646
75,28,20,0.3393984013,0.9862658228
75,34,24,0.1586032814,0.998164557
300,28,26,0.4652923854,0.9756329114
400,26,38,0.39230122,0.9701265823
400,24,18,0.4230122003,0.9147468354
200,38,22,0.4287968027,0.9717088608
100,32,34,0.2855490114,0.9998734177
100,36,28,0.2091922592,0.9982911392
400,18,18,0.4592974337,0.8551898734
50,36,30,0.0124106016,1
300,34,22,0.4313209928,0.9668987342
300,36,32,0.4072360118,0.992278481
75,24,34,0.3952461085,0.9992405063
300,22,20,0.5190366008,0.9082911392
300,34,32,0.4198569626,0.9915822785
200,32,34,0.4762305427,0.9949367089
50,28,22,0.1189524611,0.9996835443
400,30,38,0.3673748422,0.9852531646
300,26,30,0.4782288599,0.9734177215
100,28,34,0.4019772823,0.9996835443
400,34,20,0.3591712242,0.9563924051
400,30,30,0.367690366,0.9829746835
300,32,24,0.4388935633,0.9760126582
300,32,32,0.4340555322,0.9902531646
75,34,36,0.0972864956,1
75,38,28,0.0722549432,1
300,22,26,0.5086243164,0.935
50,22,18,0.3459192259,0.9857594937
400,38,38,0.3241480858,0.9928481013
100,32,18,0.4009255364,0.9324683544
100,18,38,0.6560790913,0.904556962
300,30,32,0.4490954985,0.9875949367
400,24,38,0.4064997897,0.958164557
75,30,24,0.2331720656,0.9981012658
400,32,36,0.3554901136,0.9884177215
300,30,34,0.4489903239,0.9884177215
75,36,36,0.0673117375,1
100,28,22,0.4363693732,0.989556962
300,30,30,0.4492006731,0.9866455696
75,34,32,0.1031762726,1
75,18,26,0.6147454775,0.9419620253
100,22,26,0.5644720236,0.9822151899
200,24,18,0.5715187211,0.8947468354
400,32,34,0.3554901136,0.9880379747
400,24,26,0.4083929323,0.9515189873
50,24,26,0.1839503576,0.9998101266
100,20,28,0.6105384939,0.9584810127
100,30,22,0.3886201094,0.9897468354
300,34,26,0.4223811527,0.9841772152
300,28,20,0.4779133361,0.9418987342
400,34,28,0.3458140513,0.9862025316
50,30,18,0.2019352125,0.9862025316
200,18,24,0.6084350021,0.8525949367
400,20,28,0.4331089609,0.9134177215
400,20,36,0.4319520404,0.9162025316
75,26,34,0.3235170383,0.9999367089
75,28,26,0.2718763147,0.9998101266
75,26,38,0.3234118637,0.9999367089
100,24,24,0.5221918385,0.9908227848
400,24,30,0.4067101388,0.9558227848
75,26,22,0.363588557,0.995443038
200,24,32,0.5519562474,0.9737974684
300,32,20,0.4514093395,0.9472151899
75,30,30,0.194362642,0.9999367089
75,20,24,0.5484854859,0.9803797468
200,38,30,0.4112326462,0.9944936709
100,34,18,0.365376525,0.9324683544
75,36,26,0.1105384939,0.9998734177
400,36,34,0.3349810686,0.9913291139
400,32,28,0.357172907,0.9842405063
75,38,38,0.04101809,1
300,28,36,0.4632940682,0.9834177215
300,20,30,0.5209297434,0.9099367089
50,28,20,0.1619688683,0.997721519
300,20,20,0.5319730753,0.8832911392
300,36,26,0.4099705511,0.9846835443
400,38,22,0.3358224653,0.9696835443
200,24,28,0.5526924695,0.9720253165
75,26,24,0.3461295751,0.9979746835
50,36,34,0.0068363483,1
300,34,38,0.4193310896,0.9936708861
50,38,18,0.1837400084,0.9862025316
100,20,20,0.6234749684,0.9403164557
75,28,24,0.2867059318,0.9981012658
400,34,32,0.3442364325,0.9894303797
400,18,20,0.4550904501,0.8665189873
400,24,34,0.4064997897,0.9571518987
100,18,32,0.6564997897,0.9029113924
100,24,28,0.516933109,0.9942405063
200,38,36,0.4073411864,0.9963291139
50,24,20,0.2434791754,0.9975949367
400,34,38,0.3440260833,0.9907594937
100,24,26,0.518721077,0.9934810127
50,20,22,0.3750525873,0.9968987342
400,32,32,0.3555952882,0.9874683544
400,26,22,0.4012410602,0.9513924051
50,38,28,0.014619268,1
400,20,38,0.4319520404,0.9170886076
50,36,26,0.0283971393,1
300,28,24,0.4665544804,0.9690506329
50,30,22,0.0957088767,0.9996835443
200,18,36,0.60769878,0.8594936709
400,36,30,0.3354017669,0.9893037975
75,28,34,0.2528397139,0.9999367089
100,22,22,0.5705721498,0.9759493671
100,28,38,0.4003996634,0.9997468354
300,24,20,0.5042069836,0.9251898734
100,38,28,0.1728018511,0.9982911392
200,22,32,0.5716238957,0.9521518987
50,38,30,0.0098864114,1
100,24,34,0.5135675221,0.9963291139
50,36,24,0.0465923433,1
100,34,36,0.231804796,0.9999367089
50,32,28,0.0272402188,1
300,28,18,0.4858014304,0.915443038
75,32,18,0.3090029449,0.9565189873
400,20,20,0.442574674,0.8933544304
200,22,18,0.5882414809,0.8810759494
50,26,30,0.1113798906,1
50,34,30,0.0157761885,1
75,32,22,0.2225494321,0.9955696203
300,32,28,0.4350021035,0.9870886076
200,26,28,0.5357593605,0.9833544304
75,34,20,0.2295961296,0.9862658228
200,22,30,0.5719394194,0.9515822785
75,30,32,0.1908918805,0.9999367089
400,22,28,0.4195414388,0.9360126582
100,34,24,0.2812368532,0.9948101266
75,24,30,0.3973496003,0.9990506329
100,26,32,0.4541438788,0.9981012658
400,18,38,0.4449936895,0.8879113924
75,36,34,0.0704669752,1
100,24,18,0.5600546908,0.9301265823
400,30,22,0.3773664283,0.9641772152
75,30,38,0.1877366428,1
75,18,34,0.6126419857,0.9442405063
300,26,18,0.4989482541,0.9107594937
200,36,36,0.4327934371,0.9962658228
400,30,34,0.3673748422,0.984556962
200,36,26,0.4409970551,0.9887974684
50,20,36,0.3615902398,0.9982911392
200,32,22,0.4907446361,0.9712025316
100,28,26,0.4147034077,0.997278481
200,32,36,0.4759150189,0.9953797468
400,36,18,0.35769878,0.94
50,30,30,0.0378628523,1
100,32,38,0.2829196466,0.9999367089
75,36,22,0.1670172486,0.9956329114
200,36,32,0.4351072781,0.9953164557
300,28,32,0.4635044173,0.9820253165
200,36,28,0.4380521666,0.9927848101
300,38,28,0.3936684897,0.9891139241
400,28,22,0.389987379,0.9585443038
400,34,30,0.3445519562,0.9881012658
200,24,22,0.5581615482,0.955443038
50,30,28,0.0413336138,1
200,30,26,0.4995793016,0.9874050633
75,30,22,0.2595708877,0.9955696203
300,34,34,0.4196466134,0.9925316456
50,26,18,0.2465292385,0.9862025316
75,32,24,0.1937315944,0.9981012658
300,18,28,0.5371266302,0.8658860759
400,22,24,0.4236432478,0.9284810127
50,38,36,0.0024190156,1
75,22,22,0.4891670172,0.9901265823
75,28,28,0.2620950778,0.9999367089
400,38,18,0.3480227177,0.9405696203
50,38,32,0.0063104754,1
75,22,28,0.4762305427,0.9948101266
100,36,22,0.2641985696,0.9898101266
200,20,36,0.5905553218,0.9183544304
200,18,28,0.6080143037,0.8566455696
100,34,28,0.2539966344,0.9982278481
100,38,20,0.2656710139,0.9739240506
50,20,34,0.3616954144,0.9982278481
200,36,38,0.4321623896,0.9970253165
50,28,32,0.0662599916,1
100,28,20,0.4575094657,0.9736708861
50,22,36,0.2622002524,0.9997468354
300,34,20,0.4376314682,0.9480379747
400,28,20,0.3938788389,0.9474050633
100,26,36,0.45256626,0.9988607595
400,28,26,0.3824148086,0.9713291139
400,38,30,0.3250946571,0.9899367089
100,32,32,0.286916281,0.9993670886
200,38,20,0.437946992,0.9475316456
50,30,36,0.0338662179,1
75,22,34,0.4731804796,0.9958227848
300,38,18,0.4211190576,0.9213924051
50,26,28,0.113588557,0.9999367089
400,24,32,0.4066049642,0.9565822785
200,22,34,0.5715187211,0.9526582278
50,26,34,0.1095919226,1
400,28,32,0.3803113168,0.9771518987
400,38,32,0.3246739588,0.9914556962
400,26,24,0.3984013462,0.9578481013
100,24,38,0.5127261254,0.9965189873
300,38,22,0.4056583929,0.9675949367
400,20,22,0.4392090871,0.901835443
200,26,36,0.5346024401,0.9861392405
400,38,34,0.3244636096,0.9920253165
50,32,38,0.0170382836,1
400,30,36,0.3673748422,0.9849367089
400,36,26,0.3380311317,0.9832278481
300,28,28,0.4642406395,0.9793670886
100,26,34,0.4537231805,0.9987341772
100,34,26,0.2661968868,0.9975316456
75,36,38,0.0654185949,1
300,28,34,0.4633992427,0.9827848101
50,18,20,0.4864324779,0.9798734177
400,30,18,0.3877787127,0.9358227848
75,22,20,0.5021034918,0.9812025316
100,24,30,0.514619268,0.9948101266
50,18,32,0.4687631468,0.9865189873
100,32,30,0.2920698359,0.9989240506
100,32,26,0.3117374842,0.9975316456
50,18,24,0.4731804796,0.9841139241
400,36,24,0.342553639,0.9769620253
75,28,38,0.2519983172,0.9999367089
300,26,34,0.4781236853,0.9747468354
75,24,20,0.4409970551,0.9851898734
200,22,26,0.572570467,0.948164557
400,34,34,0.3441312579,0.99
300,36,38,0.4062894405,0.9943037975
75,30,18,0.3400294489,0.9565189873
100,30,18,0.4395246109,0.9324683544
50,32,30,0.0229280606,1
75,24,24,0.4089188052,0.9969620253
50,18,30,0.4688683214,0.9864556962
400,28,28,0.3816785865,0.9746202532
100,30,24,0.3722128734,0.9948101266
200,34,26,0.4604543542,0.9886075949
50,20,30,0.3620109382,0.9982278481
200,30,36,0.4945309213,0.9941139241
300,26,24,0.4808582247,0.9621518987
100,30,34,0.340765671,0.9998101266
300,36,30,0.4076567101,0.9912025316
300,30,18,0.4725494321,0.9188607595
50,26,38,0.1092763988,1
300,26,22,0.485906605,0.9536075949
400,30,28,0.3689524611,0.9812025316
200,24,20,0.5640513252,0.9338607595
300,38,30,0.3929322676,0.9915189873
50,22,22,0.2829196466,0.9991772152
50,34,34,0.010517459,1
200,32,18,0.5075725705,0.9052531646
50,20,24,0.3684265881,0.9974050633
100,38,22,0.2327513673,0.9898101266
200,26,30,0.5352334876,0.9844936709
75,18,22,0.6183214135,0.9375949367
75,30,26,0.2149768616,0.9998101266
300,30,36,0.4488851493,0.9889873418
100,22,20,0.582562053,0.9615822785
50,28,34,0.0649978965,1
300,24,32,0.4916912074,0.9603797468
50,20,20,0.3904080774,0.9948734177
300,20,32,0.5209297434,0.9106329114
100,18,24,0.6584981069,0.898164557
75,30,36,0.1883676904,1
200,30,18,0.5238746319,0.9048734177
50,26,22,0.154606647,0.9996202532
400,36,36,0.334875894,0.9917088608
75,26,20,0.388725284,0.9862025316
400,30,32,0.3674800168,0.9839873418
400,26,32,0.3924063946,0.9687341772
300,18,18,0.5536390408,0.828164557
50,22,32,0.2626209508,0.9997468354
100,26,30,0.4555111485,0.9973417722
100,38,36,0.1412494741,1
100,36,18,0.3301430374,0.9325316456
200,34,20,0.4781236853,0.9473417722
400,38,24,0.3323517038,0.9775949367
300,24,24,0.4943205722,0.949556962
300,20,38,0.5208245688,0.9128481013
400,22,32,0.4184896929,0.9380379747
200,28,36,0.5160917122,0.991835443
100,32,24,0.3247791334,0.9948101266
300,36,22,0.4195414388,0.9673417722
100,36,36,0.182057215,1
300,18,26,0.5379680269,0.8638607595
50,24,28,0.1798485486,0.9998734177
75,22,38,0.473075305,0.9962025316
400,26,30,0.3926167438,0.9678481013
100,20,36,0.6088557005,0.9620253165
50,22,20,0.3070046277,0.9972151899
100,20,22,0.6152713504,0.9520253165
400,22,18,0.433845183,0.8998101266
400,30,20,0.3815734119,0.9529113924
400,26,36,0.39230122,0.9696202532
200,22,36,0.5715187211,0.9529746835
300,20,34,0.5209297434,0.9115189873
400,32,26,0.3580143037,0.9803797468
400,28,38,0.3802061422,0.9784810127
200,24,24,0.5539545646,0.9652531646
75,18,20,0.622318048,0.9313291139
50,28,28,0.0703618006,1
200,28,38,0.5158813631,0.9925949367
400,18,32,0.4450988641,0.8861392405
100,18,20,0.6660706773,0.8874683544
