window_size	threshold_pure	threshold_crf	sens. URF	sens. PURE/CRF
100	26	22	0.669856962558	0.927848101266
300	20	30	0.55795119899	0.796455696203
400	32	28	0.415544804375	0.945506329114
75	36	38	0.367900715187	0.999936708861
50	26	38	0.467185527976	0.999050632911
75	30	32	0.520298695835	0.998734177215
75	38	38	0.318573832562	0.999936708861
400	24	32	0.450673117375	0.883670886076
300	28	34	0.520298695835	0.93082278481
75	34	26	0.454249053429	0.995506329114
75	34	24	0.469394194363	0.986329113924
75	38	30	0.343605384939	0.999367088608
400	26	22	0.443521245267	0.883924050633
200	24	38	0.614850652082	0.889746835443
100	26	28	0.658813630627	0.973481012658
200	34	24	0.565628944047	0.948291139241
200	34	34	0.560475389146	0.98664556962
400	22	24	0.459928481279	0.848734177215
300	38	26	0.479806478755	0.959936708861
400	32	38	0.414703407657	0.955506329114
50	32	30	0.259045014724	0.999873417722
100	36	36	0.491796381994	0.999620253165
400	28	20	0.436369373159	0.889430379747
300	30	26	0.514093395036	0.930253164557
200	32	28	0.573411863694	0.967594936709
50	36	34	0.137358014304	1.0
75	28	32	0.570572149769	0.996392405063
400	36	22	0.402292806058	0.939240506329
100	20	26	0.741375683635	0.814240506329
200	28	18	0.613904080774	0.820506329114
50	28	18	0.5464871687	0.870189873418
50	36	22	0.283866217922	0.986455696203
300	32	20	0.511148506521	0.897088607595
75	22	28	0.696992006731	0.93664556962
400	22	22	0.460349179638	0.842721518987
400	20	36	0.467290702566	0.830443037975
75	34	34	0.422275978124	0.999936708861
100	18	38	0.767143458141	0.709810126582
300	24	28	0.54049221708	0.871329113924
100	32	18	0.626419856963	0.799367088608
400	24	30	0.450673117375	0.882405063291
75	22	34	0.694888514935	0.938734177215
50	34	36	0.181426167438	1.0
50	24	26	0.553428691628	0.992025316456
100	30	28	0.602019352125	0.991835443038
400	36	34	0.399453092133	0.972341772152
100	20	30	0.740008413967	0.818291139241
200	20	20	0.64514093395	0.741518987342
300	30	34	0.512726125368	0.949936708861
300	32	22	0.509255363904	0.916139240506
300	26	30	0.531447202356	0.902594936709
200	26	34	0.60485906605	0.926835443038
100	36	24	0.527450567943	0.973101265823
300	24	36	0.540176693311	0.878797468354
400	28	26	0.434265881363	0.914050632911
300	32	24	0.507362221287	0.931898734177
100	36	30	0.501051745898	0.997784810127
100	24	26	0.686579722339	0.943227848101
200	30	24	0.586243163652	0.935
75	34	32	0.426588136306	0.999810126582
100	22	22	0.718552797644	0.866329113924
300	34	34	0.495372318048	0.973987341772
400	26	34	0.44173327724	0.907025316456
50	34	24	0.277450567943	0.995189873418
75	36	28	0.39556163231	0.998544303797
100	28	20	0.652923853597	0.882341772152
300	20	32	0.55795119899	0.79746835443
50	28	38	0.390408077408	0.999620253165
100	32	28	0.572885990745	0.993860759494
200	22	30	0.626314682373	0.833797468354
50	26	32	0.469604543542	0.998607594937
75	36	26	0.411653344552	0.995506329114
50	30	36	0.311211611275	0.999936708861
50	30	30	0.322044594026	0.999810126582
50	32	38	0.242217080353	1.0
100	34	18	0.602334875894	0.799683544304
50	36	26	0.205405973917	0.998417721519
300	32	28	0.505363904081	0.951898734177
75	22	18	0.729070256626	0.791455696203
200	26	18	0.622843920909	0.806582278481
300	32	36	0.504417332772	0.966265822785
200	30	26	0.584770719394	0.94917721519
75	22	20	0.712978544384	0.871898734177
200	24	36	0.614850652082	0.888860759494
300	34	30	0.496003365587	0.967151898734
300	36	32	0.486642827093	0.977088607595
200	24	34	0.614850652082	0.888037974684
300	18	24	0.56952040387	0.74582278481
100	34	34	0.530921329407	0.999367088608
200	34	30	0.561001262095	0.979810126582
100	20	20	0.748001682793	0.769303797468
400	28	18	0.436579722339	0.874746835443
100	24	36	0.682477913336	0.951835443038
300	38	30	0.478544383677	0.977151898734
75	38	24	0.392090870846	0.986329113924
50	38	38	0.0881363062684	1.0
400	32	34	0.415124106016	0.952974683544
50	26	30	0.471813209928	0.998291139241
200	32	36	0.571729070257	0.981835443038
100	30	20	0.630521665966	0.885506329114
75	24	34	0.655553218342	0.975569620253
75	30	36	0.51766933109	0.998924050633
300	36	34	0.486432477913	0.98
200	18	20	0.660180900294	0.683417721519
50	36	36	0.132414808582	1.0
300	24	34	0.540281867901	0.877278481013
75	28	26	0.581931005469	0.992405063291
300	18	18	0.574673958772	0.722721518987
100	20	34	0.739377366428	0.820063291139
200	18	36	0.654606647034	0.709746835443
200	36	30	0.548590660496	0.983037974684
400	24	36	0.450462768195	0.88582278481
200	36	26	0.551325199832	0.965949367089
75	30	26	0.537336979386	0.994430379747
100	38	38	0.454564577198	0.999873417722
300	22	28	0.549537231805	0.834746835443
75	18	20	0.781973075305	0.715253164557
100	22	18	0.734854859066	0.758670886076
200	26	32	0.605069415229	0.924810126582
50	28	26	0.415965502735	0.997911392405
100	26	34	0.655448043753	0.977405063291
300	24	30	0.540387042491	0.874367088608
200	36	18	0.572780816155	0.836708860759
400	36	36	0.399032393774	0.974303797468
300	20	26	0.558477071939	0.791265822785
200	24	18	0.631994110223	0.786518987342
50	24	34	0.545645771981	0.994556962025
75	26	38	0.614955826672	0.991962025316
100	24	30	0.684055532183	0.949430379747
300	34	28	0.496318889356	0.960379746835
50	26	20	0.54080774085	0.951139240506
400	28	32	0.433003786285	0.924050632911
75	20	38	0.733066891039	0.865379746835
200	36	24	0.553428691628	0.950379746835
300	18	20	0.571729070257	0.73253164557
300	36	24	0.489692890198	0.944303797468
300	24	24	0.542385359697	0.859493670886
400	20	28	0.467395877156	0.826582278481
100	30	30	0.59896928902	0.994683544304
75	22	32	0.695204038704	0.938227848101
50	20	28	0.68615902398	0.935063291139
75	22	38	0.694467816576	0.940253164557
50	26	18	0.588872528397	0.869367088608
400	20	38	0.467185527976	0.830759493671
50	18	32	0.749579301641	0.838670886076
400	34	26	0.408077408498	0.949556962025
300	28	22	0.524610854018	0.891139240506
50	22	24	0.626630206142	0.973987341772
100	26	18	0.69204880101	0.79246835443
200	36	20	0.562158182583	0.885949367089
200	18	28	0.655132519983	0.705949367089
200	32	18	0.594026083298	0.833037974684
200	20	34	0.639145982331	0.777721518987
50	18	22	0.756731173748	0.828227848101
100	34	22	0.568784181742	0.942658227848
75	28	20	0.616638620109	0.909367088608
